result_type,parameter_source,label,n_features,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std
cv_summary,baseline,baseline,155,0.260987334336612,0.0763413063546513,45.98685613514016,5.4345132587112,60.25861823130968,8.213727876112701
cv_summary,tuned,tuned,155,0.283510408161635,0.0843477791888081,44.907204630082425,5.655483998728275,59.34480995532893,8.544588789777006
ablation,tuned,P,1,-0.010274632107260873,0.008837123089436858,54.74480482799513,4.386491699104765,70.31520022589629,6.364584667513797
ablation,tuned,S,13,-0.009088992698362918,0.015873861217439656,54.764032808172296,4.617522532032419,70.29062087018329,6.571204570462022
ablation,tuned,T + P + S,17,-0.0033426935589131344,0.01928056775723693,54.51163447100024,4.773017428397264,70.10557219287409,6.7351038283432585
ablation,tuned,P + S,14,-0.0032987844979194937,0.021471388342876523,54.57356641525693,4.766620782086555,70.09989349749456,6.706792023872806
ablation,tuned,T + P,4,-0.0023571729906246564,0.011742587331321682,54.36283496475725,4.2600645832337465,70.03440307293931,6.295238911795741
ablation,tuned,T + S,16,-0.0006806674354842612,0.018457151255638543,54.34734317112824,4.797977326642724,70.01222053781662,6.713825333883076
ablation,tuned,T,3,0.0007904653212691848,0.008411652734365938,54.317106876844306,4.266221151765309,69.93009306757294,6.3370288075491485
ablation,tuned,Dc + S,139,0.05039244433355798,0.03660714472785109,52.725249065157314,5.179061184259467,68.2568861228314,7.291267908878944
ablation,tuned,Dc + P + S,140,0.05063500797237634,0.036822066523611405,52.77463420399165,5.058704956329505,68.25316257053086,7.3336521961094014
ablation,tuned,Dc + P,127,0.053191823462114374,0.02932561724259645,52.6046032901884,4.859049168264457,68.13433216484907,6.996616958452219
ablation,tuned,Dc,126,0.05581530908710589,0.026859501769941254,52.50498737995842,4.785096838739299,68.0389413731276,6.95342093821885
ablation,tuned,Dc + T + P + S,143,0.060356536503508085,0.03446824065509833,52.26180380847135,5.086532663127245,67.89768265680019,7.222435370019219
ablation,tuned,Dc + T + S,142,0.060928141061910135,0.03680115158554835,52.22167188153195,5.193538480085827,67.88352516061688,7.312793006382093
ablation,tuned,Dc + T + P,130,0.06418027506229855,0.026963377215310377,52.16297282679379,4.82189469942351,67.7373775704441,6.920003305999061
ablation,tuned,Dc + T,129,0.06648030754746813,0.027907955275337376,52.06274157445004,4.852548810374788,67.65560954229167,6.9329945910689785
ablation,tuned,G + S,25,0.243024656468051,0.06589185528250074,46.508626407334134,4.858275369634125,60.95769535420627,7.467088931527928
ablation,tuned,G + P + S,26,0.24321978673741648,0.07476708386736065,46.47212277830728,4.757449523318987,60.94523687606486,7.684888133998748
ablation,tuned,G + T + P + S,29,0.2536926674239356,0.07339793954622556,46.02735125082674,4.919009005799534,60.54642396995089,7.794879785036436
ablation,tuned,G + T + S,28,0.2554885767251006,0.07719830917139558,45.96571696142679,5.321725339598526,60.47163024368291,7.919564008414426
ablation,tuned,Dc + G + S,151,0.2602447086741057,0.07675862123914867,45.96746876346715,5.0328021327103825,60.27346104781888,7.825364170320303
ablation,tuned,Dc + G + P + S,152,0.2620271239963158,0.07685109716167633,45.85206672013517,5.275645593749547,60.23887816217491,8.135265839882127
ablation,tuned,G,12,0.26809396091126386,0.07784612077121175,45.77238241852184,4.9012672813782086,59.89011948666572,7.405069015115445
ablation,tuned,G + P,13,0.2723588280607522,0.07748307997018347,45.52014477702751,4.738720236226657,59.71285638430527,7.364716331500147
ablation,tuned,Dc + G,138,0.2772432115303253,0.0696380840163129,45.41653630228423,4.864455228054787,59.559384929163954,7.419879352854652
ablation,tuned,Dc + G + T + S,154,0.27822712514209325,0.07782065574945046,45.07518867343289,5.310519666715046,59.560905408524604,8.021946123504428
ablation,tuned,Dc + G + P,139,0.2785990644735151,0.06977478358314783,45.367718464637946,4.898412427104979,59.51876423760454,7.570791640962847
ablation,tuned,G + T + P,16,0.2828655205609642,0.08340192389120969,45.04629811036307,4.95204908408611,59.29679286078558,7.687998974993612
ablation,tuned,Dc + G + T + P + S,155,0.283510408161635,0.08001932934407496,44.907204630082425,5.3652632119854475,59.344809955328934,8.106108673571098
ablation,tuned,G + T,15,0.28663261103028603,0.0801104751457241,45.0995033116679,4.834766060662789,59.13292026994607,7.514961310093569
ablation,tuned,Dc + G + T + P,142,0.2957205558133091,0.0841013055690943,44.636314911495,5.565203144120294,58.80387662200307,8.000209607198519
ablation,tuned,Dc + G + T,141,0.2965838060322471,0.07748316539397568,44.52704474527445,5.257944231098559,58.76323799204265,7.71287121367537
